2018-11-01 19:04:46 status installed libc-bin:amd64 2.27-3ubuntu1
2018-11-01 19:04:46 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 19:04:46 status half-configured man-db:amd64 2.8.3-2
2018-11-01 19:04:48 status installed man-db:amd64 2.8.3-2
2018-11-01 19:04:48 configure libtcl8.6:amd64 8.6.8+dfsg-3 <none>
2018-11-01 19:04:48 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-11-01 19:04:48 status unpacked libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 status half-configured libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 status installed libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 configure libtk8.6:amd64 8.6.8-4 <none>
2018-11-01 19:04:48 status unpacked libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 status half-configured libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 status installed libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 configure tcl8.6:amd64 8.6.8+dfsg-3 <none>
2018-11-01 19:04:48 status unpacked tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 status half-configured tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 status installed tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:48 configure tk8.6:amd64 8.6.8-4 <none>
2018-11-01 19:04:48 status unpacked tk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 status half-configured tk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 status installed tk8.6:amd64 8.6.8-4
2018-11-01 19:04:48 configure tcl:amd64 8.6.0+9 <none>
2018-11-01 19:04:48 status unpacked tcl:amd64 8.6.0+9
2018-11-01 19:04:48 status half-configured tcl:amd64 8.6.0+9
2018-11-01 19:04:48 status installed tcl:amd64 8.6.0+9
2018-11-01 19:04:48 configure tk:amd64 8.6.0+9 <none>
2018-11-01 19:04:48 status unpacked tk:amd64 8.6.0+9
2018-11-01 19:04:48 status half-configured tk:amd64 8.6.0+9
2018-11-01 19:04:48 status installed tk:amd64 8.6.0+9
2018-11-01 19:04:48 configure gitk:all 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 19:04:48 status unpacked gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:48 status half-configured gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:48 status installed gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:48 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 19:04:48 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-11-01 19:04:48 status installed libc-bin:amd64 2.27-3ubuntu1
